number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.7364885164749956,2026-09-16 22:42:43.261181,2026-09-16 22:42:57.951453,0 days 00:00:14.690272,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,49.0,0.7419354838709677,0.7310415490790234,,COMPLETE
1,0.3369282588190171,2026-09-16 22:42:58.071592,2026-09-16 22:43:14.740500,0 days 00:00:16.668908,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,46.0,0.33548387096774196,0.33837264667029227,,COMPLETE
2,0.23258229208529058,2026-09-16 22:43:14.850389,2026-09-16 22:43:30.918346,0 days 00:00:16.067957,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,34.0,0.25806451612903225,0.20710006804154893,,COMPLETE
3,0.24968859983584973,2026-09-16 22:43:31.020806,2026-09-16 22:43:42.076733,0 days 00:00:11.055927,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,37.0,0.267741935483871,0.23163526418782845,,COMPLETE
4,0.2725851840473963,2026-09-16 22:43:42.197466,2026-09-16 22:43:52.182704,0 days 00:00:09.985238,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,19.0,0.29354838709677417,0.25162198099801836,,COMPLETE
5,0.6491920697390943,2026-09-16 22:43:52.304134,2026-09-16 22:44:20.475078,0 days 00:00:28.170944,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,49.0,0.6548387096774193,0.6435454298007691,,COMPLETE
6,0.5552840769039226,2026-09-16 22:44:20.583376,2026-09-16 22:44:29.475616,0 days 00:00:08.892240,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,46.0,0.5483870967741935,0.5621810570336516,,COMPLETE
7,0.509392762990437,2026-09-16 22:44:29.584673,2026-09-16 22:44:35.925611,0 days 00:00:06.340938,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,29.0,0.5193548387096775,0.4994306872711966,,COMPLETE
8,0.5907633487177555,2026-09-16 22:44:36.049497,2026-09-16 22:44:54.783241,0 days 00:00:18.733744,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,50.0,0.5838709677419355,0.5976557296935756,,COMPLETE
9,0.22537674435307098,2026-09-16 22:44:54.899867,2026-09-16 22:44:57.021390,0 days 00:00:02.121523,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
