number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.3920408069632492,2026-09-17 20:11:12.823100,2026-09-17 20:13:54.253385,0 days 00:02:41.430285,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,64.0,0.2216968971838151,8,5,1,0.41407038455720546,16,5,3,,,,,,,,,256,16,7,0.5850384088698767,9.0,2,Adam,,,,48.0,0.40828402366863903,0.3757975902578594,,COMPLETE
1,0.3401123449200372,2026-09-17 20:13:54.406403,2026-09-17 20:16:43.129891,0 days 00:02:48.723488,0.9372617377558581,0.9330567126827797,0.0001705053926026929,0.0028340904295147754,256.0,0.1783931449676581,32,5,2,0.15636968998990508,64,3,3,0.42618457138193366,128.0,3.0,1.0,,,,,256,32,5,0.13813501017161417,9.0,3,Adam,,,,46.0,0.3609467455621302,0.31927794427794426,,COMPLETE
2,0.32031204448786865,2026-09-17 20:16:43.253819,2026-09-17 20:18:51.090782,0 days 00:02:07.836963,0.9215046223608592,0.941699359214563,0.005265761277157428,1.0661259689433902e-06,64.0,0.19971689165954998,8,3,3,0.35336150260416943,32,3,2,0.45843651996939727,32.0,3.0,1.0,,,,,64,32,3,0.23326468628243816,6.0,3,Adam,,,,20.0,0.34911242603550297,0.2915116629402344,,COMPLETE
3,0.18481367526062578,2026-09-17 20:18:51.213384,2026-09-17 20:22:55.849926,0 days 00:04:04.636542,,,,,256.0,0.2957811041110252,32,7,1,0.3534118843043579,16,5,1,,,,,,,,,256,32,7,0.1099526973567137,13.0,2,SGD,0.0001325334260006654,0.8713589535245901,0.0005131654955148327,45.0,0.24260355029585798,0.12702380022539358,,COMPLETE
4,0.24682323931773553,2026-09-17 20:22:55.983881,2026-09-17 20:25:01.792281,0 days 00:02:05.808400,,,,,64.0,0.35324058290930715,32,7,3,0.1646514856378455,64,5,1,0.16432322056699947,32.0,3.0,2.0,0.2301598792637071,128.0,3.0,2.0,256,16,3,0.24639378602745016,20.0,4,SGD,0.000190996013855054,0.8066375828872356,1.150295632191274e-05,46.0,0.26627218934911245,0.22737428928635858,,COMPLETE
5,0.19675874946997268,2026-09-17 20:25:01.923235,2026-09-17 20:25:31.609340,0 days 00:00:29.686105,0.9728322300699137,0.974002784913645,0.00019061980918553997,0.00011839097834757703,256.0,0.48666192761746785,32,7,2,0.47446190966431245,16,3,3,,,,,,,,,64,16,5,0.5182094445971608,16.0,2,Adam,,,,,,,,PRUNED
6,,2026-09-17 20:25:31.739053,2026-09-17 20:25:31.828314,0 days 00:00:00.089261,,,,,,0.21461650085131379,16,3,3,0.1863284109987373,16,5,3,0.3904365334890646,32.0,3.0,3.0,0.1313825525369064,64.0,3.0,1.0,,16,5,,,4,,,,,,,,,PRUNED
7,0.18047960092539542,2026-09-17 20:25:31.937273,2026-09-17 20:26:09.314016,0 days 00:00:37.376743,,,,,256.0,0.267840024971116,32,3,1,0.3814631437520095,64,3,3,,,,,,,,,256,16,7,0.48105619052058624,5.0,2,SGD,0.002002418955187057,0.8155663729752383,0.0002906701215322915,,,,,PRUNED
8,,2026-09-17 20:26:09.417251,2026-09-17 20:26:09.491609,0 days 00:00:00.074358,,,,,,0.1783164539157186,32,3,2,0.10930877429433035,32,3,3,0.3940284175215544,32.0,3.0,3.0,0.26504707076457057,64.0,3.0,3.0,,8,7,,,4,,,,,,,,,PRUNED
9,0.15516140334022643,2026-09-17 20:26:09.582811,2026-09-17 20:33:33.417780,0 days 00:07:23.834969,,,,,256.0,0.46215279056770553,32,5,1,0.2314658181479664,64,5,1,0.12302350400665772,128.0,3.0,1.0,0.40460425268698896,256.0,3.0,1.0,64,16,7,0.15090262845111516,20.0,4,SGD,0.02921327035221024,0.904810245875384,2.1154127741888562e-06,,,,,PRUNED
10,0.2889207502117258,2026-09-17 20:33:33.547182,2026-09-17 20:35:49.705132,0 days 00:02:16.157950,0.8663147368044435,0.999036441842644,0.0024792013326598596,1.368363201474311e-06,32.0,0.33125155544848317,8,5,1,0.2502746524800842,16,5,3,0.2775394130445563,64.0,3.0,2.0,,,,,128,8,7,0.6613371256488547,11.0,3,Adam,,,,,,,"{""block_0_dropout"": 0.33125155544848317, ""block_0_filters"": 8, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.2502746524800842, ""block_1_filters"": 16, ""block_1_kernel"": 5, ""block_1_stride"": 3, ""first_conv_filters"": 8, ""first_conv_kernel_size"": 7, ""n_blocks"": 3}",PRUNED
11,0.24450435892095357,2026-09-17 20:35:49.819567,2026-09-17 20:38:11.165652,0 days 00:02:21.346085,0.9880226306370306,0.9011273725717035,0.00017879177567110856,0.009639757903159489,128.0,0.17127347459965686,8,5,1,0.4613915011110072,16,5,3,,,,,,,,,256,32,7,0.3787217785991117,9.0,2,Adam,,,,,,,"{""block_0_dropout"": 0.17127347459965686, ""block_0_filters"": 8, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.4613915011110072, ""block_1_filters"": 16, ""block_1_kernel"": 5, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 7, ""n_blocks"": 2}",PRUNED
12,0.26185865474745834,2026-09-17 20:38:11.291681,2026-09-17 20:40:33.840362,0 days 00:02:22.548681,0.9396599001867274,0.9353250570837559,0.0001015123825150418,0.00562658180492871,64.0,0.2680025590139372,32,5,3,0.3210759180418873,64,3,3,0.23201292762482023,128.0,3.0,1.0,0.44034571788967014,256.0,3.0,3.0,256,32,5,0.6876553550636466,9.0,4,Adam,,,,,,,"{""block_0_dropout"": 0.2680025590139372, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 3, ""block_1_dropout"": 0.3210759180418873, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 4}",PRUNED
13,0.5086796755824605,2026-09-17 20:40:33.946945,2026-09-17 20:43:18.782325,0 days 00:02:44.835380,0.9377070478972264,0.9588434704435519,0.0007259457479364275,5.1905519853860966e-05,128.0,0.2055649785902877,32,5,2,0.22690241308090559,64,3,3,0.2961881509128239,128.0,3.0,1.0,,,,,128,32,5,0.37098036164825715,8.0,3,Adam,,,,50.0,0.5266272189349113,0.4907321322300097,"{""block_0_dropout"": 0.2055649785902877, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""block_1_dropout"": 0.22690241308090559, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
14,0.41187862868252256,2026-09-17 20:43:18.931374,2026-09-17 20:46:23.077394,0 days 00:03:04.146020,0.9085415715194903,0.9961146071857502,0.000780987381338768,2.3204538977022535e-05,128.0,0.1082912923872042,32,5,1,0.3472148539998572,64,3,3,0.29937865333021163,64.0,3.0,1.0,0.3544973862256166,128.0,3.0,2.0,128,32,5,0.5477463095015158,7.0,4,Adam,,,,44.0,0.4319526627218935,0.3918045946431517,"{""block_0_dropout"": 0.1082912923872042, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.3472148539998572, ""block_1_filters"": 64, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 4}",COMPLETE
15,0.42266845894082405,2026-09-17 20:46:23.215863,2026-09-17 20:49:22.701773,0 days 00:02:59.485910,0.8954226754131689,0.9689209104332411,0.0008717854608689005,3.89441649808242e-05,128.0,0.13351345491650946,32,5,1,0.31380711653262705,32,3,3,0.2881117492312341,64.0,3.0,1.0,,,,,128,32,5,0.38636623282858534,7.0,3,Adam,,,,39.0,0.4437869822485207,0.40154993563312746,"{""block_0_dropout"": 0.13351345491650946, ""block_0_filters"": 32, ""block_0_kernel"": 5, ""block_0_stride"": 1, ""block_1_dropout"": 0.31380711653262705, ""block_1_filters"": 32, ""block_1_kernel"": 3, ""block_1_stride"": 3, ""first_conv_filters"": 32, ""first_conv_kernel_size"": 5, ""n_blocks"": 3}",COMPLETE
