number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,state
0,0.4504021847218567,2026-09-14 22:27:17.823408,2026-09-14 22:29:13.379670,0 days 00:01:55.556262,,,,,64.0,0.15579754426081674,16,7,3,,,,,,,,,256,32,3,3,0.464526911140863,7.0,1,SGD,0.003489018845491387,0.8718002249699923,1.5339162591163623e-06,48.0,0.4645161290322581,0.43628824041145536,COMPLETE
1,0.4966953517448244,2026-09-14 22:29:13.540220,2026-09-14 22:31:15.867623,0 days 00:02:02.327403,,,,,64.0,0.1353970008207678,64,3,3,0.42087879230161584,128.0,5.0,2.0,,,,,128,16,7,5,0.5627622080115674,6.0,2,SGD,0.02795015916508337,0.904988629715809,0.0008241925264876454,45.0,0.5,0.4933907034896487,COMPLETE
2,0.4268380538569957,2026-09-14 22:31:16.023451,2026-09-14 22:33:43.628144,0 days 00:02:27.604693,0.8667811514267155,0.9337277556232224,0.0006836314065022728,7.7344821566468e-06,32.0,0.22574239243053068,64,3,3,0.4232481518257668,32.0,3.0,3.0,0.1911740650167767,32.0,3.0,1.0,256,16,5,3,0.6657458223475115,10.0,3,Adam,,,,12.0,0.44516129032258067,0.40851481739141077,COMPLETE
3,0.3874965813630057,2026-09-14 22:33:43.779903,2026-09-14 22:35:34.741670,0 days 00:01:50.961767,0.8557085198176669,0.9590302050245054,0.0004380867619725788,5.5728075000299646e-06,64.0,0.2471132530877013,16,3,1,,,,,,,,,128,16,3,3,0.5065386171053694,5.0,1,Adam,,,,49.0,0.3967741935483871,0.3782189691776243,COMPLETE
4,0.3504355047232164,2026-09-14 22:35:34.893102,2026-09-14 22:47:44.817154,0 days 00:12:09.924052,,,,,32.0,0.3903822715480958,16,7,1,0.3654007076432223,16.0,7.0,1.0,,,,,256,128,5,3,0.2952398188955606,16.0,2,SGD,0.0004707690774317695,0.9065319741907854,8.891936446296244e-06,40.0,0.36451612903225805,0.3363548804141748,COMPLETE
5,0.29855524636098174,2026-09-14 22:47:44.968196,2026-09-14 22:48:24.083748,0 days 00:00:39.115552,,,,,16.0,0.46594575608817945,128,7,3,0.22676880206251107,64.0,3.0,3.0,,,,,256,16,5,3,0.18405040914191442,13.0,2,SGD,0.00019567235921447355,0.8783520957427592,0.009124632886689911,,,,PRUNED
6,0.3050080502777336,2026-09-14 22:48:24.231627,2026-09-14 22:49:56.127115,0 days 00:01:31.895488,0.8952139062117744,0.9794391008573935,0.008947550514356688,0.00011619873314872935,64.0,0.21461650085131379,64,7,3,0.1341389859975072,128.0,7.0,1.0,,,,,256,128,7,7,0.2624993507572445,12.0,2,Adam,,,,,,,PRUNED
7,0.24600967432844423,2026-09-14 22:49:56.284053,2026-09-14 22:50:34.887401,0 days 00:00:38.603348,,,,,16.0,0.11629152092758806,16,7,2,0.3540374603470575,16.0,3.0,3.0,0.3343102325093853,64.0,3.0,2.0,64,16,7,3,0.6767143382943485,19.0,3,SGD,0.004333615420461955,0.9730247945451923,3.502761367842316e-05,,,,PRUNED
8,0.26880007805789763,2026-09-14 22:50:35.038327,2026-09-14 22:51:25.265928,0 days 00:00:50.227601,0.8627688544268166,0.9493925884397879,0.0038296412064459167,0.0014403650379563883,32.0,0.24880723431711327,32,7,2,0.43058298644309667,64.0,7.0,2.0,0.3527348848679197,32.0,3.0,2.0,64,64,5,3,0.13453525600998656,13.0,3,Adam,,,,,,,PRUNED
9,0.34027180526679623,2026-09-14 22:51:25.425591,2026-09-14 22:52:41.202966,0 days 00:01:15.777375,0.8578824585954572,0.9118699098351805,0.0001053676488803293,7.492772870670286e-05,64.0,0.41085876637097474,32,7,1,,,,,,,,,256,64,7,5,0.17051574806626293,15.0,1,Adam,,,,,,,PRUNED
