number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_freq,params_first_conv_kernel_time,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.45039153345070126,2026-09-15 17:31:46.555291,2026-09-15 17:35:58.373970,0 days 00:04:11.818679,,,,,64.0,0.15579754426081674,16,7,3,,,,,,,,,256,32,3,3,0.464526911140863,7.0,1,SGD,0.003489018845491387,0.8718002249699923,1.5339162591163623e-06,48.0,0.4645161290322581,0.4362669378691444,,COMPLETE
1,0.46967454802368536,2026-09-15 17:35:58.516161,2026-09-15 17:40:33.635922,0 days 00:04:35.119761,,,,,64.0,0.1353970008207678,64,3,3,0.42087879230161584,128.0,5.0,2.0,,,,,128,16,7,5,0.5627622080115674,6.0,2,SGD,0.02795015916508337,0.904988629715809,0.0008241925264876454,45.0,0.4774193548387097,0.461929741208661,,COMPLETE
2,0.4414073680460091,2026-09-15 17:40:33.796273,2026-09-15 17:44:59.986276,0 days 00:04:26.190003,0.8667811514267155,0.9337277556232224,0.0006836314065022728,7.7344821566468e-06,32.0,0.22574239243053068,64,3,3,0.4232481518257668,32.0,3.0,3.0,0.1911740650167767,32.0,3.0,1.0,256,16,5,3,0.6657458223475115,10.0,3,Adam,,,,12.0,0.45806451612903226,0.42475021996298595,,COMPLETE
3,0.39098646495348843,2026-09-15 17:45:00.133700,2026-09-15 17:48:51.423536,0 days 00:03:51.289836,0.8557085198176669,0.9590302050245054,0.0004380867619725788,5.5728075000299646e-06,64.0,0.2471132530877013,16,3,1,,,,,,,,,128,16,3,3,0.5065386171053694,5.0,1,Adam,,,,49.0,0.4,0.3819729299069768,,COMPLETE
4,0.34386180889802465,2026-09-15 17:48:51.559002,2026-09-15 18:22:34.524266,0 days 00:33:42.965264,,,,,32.0,0.3903822715480958,16,7,1,0.3654007076432223,16.0,7.0,1.0,,,,,256,128,5,3,0.2952398188955606,16.0,2,SGD,0.0004707690774317695,0.9065319741907854,8.891936446296244e-06,40.0,0.3580645161290323,0.32965910166701695,,COMPLETE
5,0.2972580761429908,2026-09-15 18:22:34.652715,2026-09-15 18:23:26.964740,0 days 00:00:52.312025,,,,,16.0,0.46594575608817945,128,7,3,0.22676880206251107,64.0,3.0,3.0,,,,,256,16,5,3,0.18405040914191442,13.0,2,SGD,0.00019567235921447355,0.8783520957427592,0.009124632886689911,,,,,PRUNED
6,0.2752122316538678,2026-09-15 18:23:27.104159,2026-09-15 18:29:55.620332,0 days 00:06:28.516173,0.8952139062117744,0.9794391008573935,0.008947550514356688,0.00011619873314872935,64.0,0.21461650085131379,64,7,3,0.1341389859975072,128.0,7.0,1.0,,,,,256,128,7,7,0.2624993507572445,12.0,2,Adam,,,,,,,,PRUNED
7,0.22173196174575127,2026-09-15 18:29:55.771469,2026-09-15 18:30:48.648823,0 days 00:00:52.877354,,,,,16.0,0.11629152092758806,16,7,2,0.3540374603470575,16.0,3.0,3.0,0.3343102325093853,64.0,3.0,2.0,64,16,7,3,0.6767143382943485,19.0,3,SGD,0.004333615420461955,0.9730247945451923,3.502761367842316e-05,,,,,PRUNED
8,0.20656004107882298,2026-09-15 18:30:48.765412,2026-09-15 18:32:44.676786,0 days 00:01:55.911374,0.8627688544268166,0.9493925884397879,0.003829641206445917,0.0014403650379563883,32.0,0.24880723431711327,32,7,2,0.43058298644309667,64.0,7.0,2.0,0.3527348848679197,32.0,3.0,2.0,64,64,5,3,0.13453525600998656,13.0,3,Adam,,,,,,,,PRUNED
9,0.32076887803891296,2026-09-15 18:32:44.792338,2026-09-15 18:35:45.747968,0 days 00:03:00.955630,0.8578824585954572,0.9118699098351805,0.0001053676488803293,7.492772870670286e-05,64.0,0.41085876637097474,32,7,1,,,,,,,,,256,64,7,5,0.17051574806626293,15.0,1,Adam,,,,,,,,PRUNED
10,0.24300281385662054,2026-09-15 18:35:45.882683,2026-09-15 18:36:42.760598,0 days 00:00:56.877915,,,,,64.0,0.2840951679799536,32,3,3,,,,,,,,,128,16,7,5,0.454075027557059,6.0,1,SGD,0.07857389328327086,0.723178948622926,0.00932074575706787,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.2840951679799536, ""block_0_filters"": 32, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 16, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.454075027557059, ""lr_patience"": 6, ""n_blocks"": 1, ""optimizer"": ""SGD""}",PRUNED
11,0.4928153692221228,2026-09-15 18:36:42.895715,2026-09-15 18:41:38.686449,0 days 00:04:55.790734,,,,,64.0,0.2474067623233937,16,7,2,0.24646287916950677,128.0,5.0,2.0,,,,,256,32,3,3,0.5518882323082553,6.0,2,SGD,0.023578023415491013,0.8359245134774742,0.0001779203520525503,49.0,0.4935483870967742,0.49208235134747147,"{""batch_size"": 64, ""block_0_dropout"": 0.2474067623233937, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""fc_hidden"": ""256"", ""first_conv_filters"": 32, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 3, ""lr_factor"": 0.5518882323082553, ""lr_patience"": 6, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
12,0.6036002475943825,2026-09-15 18:41:38.841105,2026-09-15 19:00:37.055501,0 days 00:18:58.214396,,,,,64.0,0.12991846865508078,128,3,3,0.2603823878728176,128.0,5.0,2.0,,,,,128,128,7,5,0.6844135485143747,9.0,2,SGD,0.040635248561334804,0.7959647241239763,0.0002990654104630899,47.0,0.5967741935483871,0.6104263016403778,"{""batch_size"": 64, ""block_0_dropout"": 0.12991846865508078, ""block_0_filters"": 128, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6844135485143747, ""lr_patience"": 9, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
13,0.48780134594975755,2026-09-15 19:00:37.184966,2026-09-15 19:09:56.937630,0 days 00:09:19.752664,,,,,64.0,0.25997275569370626,16,7,2,0.2495910822966338,128.0,5.0,2.0,,,,,256,64,3,3,0.6917785755388719,8.0,2,SGD,0.016516474651722932,0.7774020881019102,0.00023192175835078856,47.0,0.47419354838709676,0.5014091435124184,"{""batch_size"": 64, ""block_0_dropout"": 0.25997275569370626, ""block_0_filters"": 16, ""block_0_kernel"": 7, ""block_0_stride"": 2, ""fc_hidden"": ""256"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 3, ""lr_factor"": 0.6917785755388719, ""lr_patience"": 8, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
14,0.3761789175579924,2026-09-15 19:09:57.102815,2026-09-15 19:11:15.010789,0 days 00:01:17.907974,,,,,64.0,0.25274453147422354,16,5,2,0.2436496262471557,128.0,5.0,2.0,,,,,256,32,3,3,0.2945632692182824,8.0,2,SGD,0.08982246868801894,0.7908498020250165,0.0003172350889991851,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.25274453147422354, ""block_0_filters"": 16, ""block_0_kernel"": 5, ""block_0_stride"": 2, ""fc_hidden"": ""256"", ""first_conv_filters"": 32, ""first_conv_kernel_freq"": 3, ""first_conv_kernel_time"": 3, ""lr_factor"": 0.2945632692182824, ""lr_patience"": 8, ""n_blocks"": 2, ""optimizer"": ""SGD""}",PRUNED
15,0.5101041319196369,2026-09-15 19:11:15.148195,2026-09-15 19:16:50.151033,0 days 00:05:35.002838,,,,,64.0,0.17394906743373234,128,3,3,0.16575315981161817,128.0,5.0,2.0,,,,,64,32,7,5,0.6397658017308071,12.0,2,SGD,0.012531532110786557,0.8118528557752096,6.966592646864168e-05,40.0,0.5064516129032258,0.5137566509360479,"{""batch_size"": 64, ""block_0_dropout"": 0.17394906743373234, ""block_0_filters"": 128, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""64"", ""first_conv_filters"": 32, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6397658017308071, ""lr_patience"": 12, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
16,0.48470859390029686,2026-09-15 19:16:50.288662,2026-09-15 19:22:01.722485,0 days 00:05:11.433823,,,,,64.0,0.18853341444167176,64,3,3,0.11324471015935206,32.0,5.0,2.0,,,,,128,32,7,5,0.6185426439911834,15.0,2,SGD,0.005554464970348391,0.7875122417126365,3.286859787542912e-05,42.0,0.4870967741935484,0.4823204136070453,"{""batch_size"": 64, ""block_0_dropout"": 0.18853341444167176, ""block_0_filters"": 64, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 32, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6185426439911834, ""lr_patience"": 15, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
17,0.3418323617933583,2026-09-15 19:22:01.860283,2026-09-15 19:23:58.055797,0 days 00:01:56.195514,,,,,64.0,0.1540514424584608,128,3,3,,,,,,,,,64,64,7,5,0.6753995571014886,16.0,1,SGD,0.0013645981332557255,0.7168640583245312,0.001162064708857431,,,,"{""batch_size"": 64, ""block_0_dropout"": 0.1540514424584608, ""block_0_filters"": 128, ""block_0_kernel"": 3, ""block_0_stride"": 3, ""fc_hidden"": ""64"", ""first_conv_filters"": 64, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.6753995571014886, ""lr_patience"": 16, ""n_blocks"": 1, ""optimizer"": ""SGD""}",PRUNED
18,0.6215583800016893,2026-09-15 19:23:58.194337,2026-09-15 19:47:58.182238,0 days 00:23:59.987901,,,,,16.0,0.16067233719777235,128,7,3,0.18475774483581658,128.0,5.0,2.0,,,,,128,128,7,5,0.5857535092752713,9.0,2,SGD,0.011743110970687275,0.8336607994388097,2.7576337049603527e-05,50.0,0.6096774193548387,0.63343934064854,"{""batch_size"": 16, ""block_0_dropout"": 0.16067233719777235, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.5857535092752713, ""lr_patience"": 9, ""n_blocks"": 2, ""optimizer"": ""SGD""}",COMPLETE
19,0.3692745707546467,2026-09-15 19:47:58.323791,2026-09-15 19:54:35.709190,0 days 00:06:37.385399,,,,,16.0,0.25899886896347,128,7,3,0.18722620451352914,128.0,5.0,2.0,,,,,128,128,7,5,0.4052410529414081,8.0,2,SGD,0.04602004394150937,0.7537710834635412,5.872491031693974e-06,,,,"{""batch_size"": 16, ""block_0_dropout"": 0.25899886896347, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 5, ""lr_factor"": 0.4052410529414081, ""lr_patience"": 8, ""n_blocks"": 2, ""optimizer"": ""SGD""}",PRUNED
20,0.6900104022875562,2026-09-15 19:54:35.840528,2026-09-15 20:19:22.510874,0 days 00:24:46.670346,,,,,64.0,0.14236960338768795,128,7,3,0.29852228439733164,128.0,5.0,1.0,0.10880173478524535,16.0,7.0,3.0,128,128,7,7,0.6154707523893032,7.0,3,SGD,0.008811735159597928,0.841226042094263,8.788733094762908e-06,50.0,0.6903225806451613,0.689698223929951,"{""batch_size"": 64, ""block_0_dropout"": 0.14236960338768795, ""block_0_filters"": 128, ""block_0_kernel"": 7, ""block_0_stride"": 3, ""fc_hidden"": ""128"", ""first_conv_filters"": 128, ""first_conv_kernel_freq"": 7, ""first_conv_kernel_time"": 7, ""lr_factor"": 0.6154707523893032, ""lr_patience"": 7, ""n_blocks"": 3, ""optimizer"": ""SGD""}",COMPLETE
