number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_dropout,params_block_0_filters,params_block_0_kernel,params_block_0_stride,params_block_1_dropout,params_block_1_filters,params_block_1_kernel,params_block_1_stride,params_block_2_dropout,params_block_2_filters,params_block_2_kernel,params_block_2_stride,params_block_3_dropout,params_block_3_filters,params_block_3_kernel,params_block_3_stride,params_fc_hidden,params_first_conv_filters,params_first_conv_kernel_size,params_lr_factor,params_lr_patience,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.4962368011281404,2026-09-16 11:58:50.959972,2026-09-16 12:04:19.622438,0 days 00:05:28.662466,0.9265394391080591,0.9184669601070001,0.0004201672054372534,0.00012030178871154674,32.0,0.3099025726528951,16,7,3,0.1798695128633439,64,3,3,0.4795542149013333,64.0,3.0,1.0,0.14881529393791154,64.0,3.0,2.0,256,32,7,0.6817507766587351,17.0,4,Adam,,,,49.0,0.5096774193548387,0.4827961829014421,,COMPLETE
1,0.38742935429192793,2026-09-16 12:04:19.765933,2026-09-16 12:29:25.392026,0 days 00:25:05.626093,0.909855742570197,0.9025393707617352,0.0009718319944817398,0.00012329098365270507,256.0,0.42618457138193366,16,3,1,0.23235920994105969,64,3,2,0.28888597006477973,128.0,3.0,3.0,,,,,256,128,3,0.16473485619598266,5.0,3,Adam,,,,41.0,0.4129032258064516,0.3619554827774043,,COMPLETE
2,,2026-09-16 12:29:25.525472,2026-09-16 12:29:25.610815,0 days 00:00:00.085343,,,,,,0.22720138998874556,32,3,3,0.1888431241882921,64,3,2,0.2454518409517176,128.0,3.0,3.0,0.11475477894181313,64.0,3.0,1.0,,64,5,,,4,,,,,,,,,PRUNED
3,0.444659913014259,2026-09-16 12:29:25.729593,2026-09-16 12:34:16.725534,0 days 00:04:50.995941,,,,,128.0,0.31430987362990337,8,7,3,0.3048372233197124,32,5,2,0.1550083776583973,64.0,3.0,3.0,,,,,256,16,7,0.41779034701360385,8.0,3,SGD,0.009548873458201667,0.9369944380583526,0.00016626592254031863,49.0,0.46774193548387094,0.421577890544647,,COMPLETE
4,0.35184113753862245,2026-09-16 12:34:16.829468,2026-09-16 12:53:21.791589,0 days 00:19:04.962121,,,,,64.0,0.37675807907707737,16,3,3,0.3630451569201374,64,3,3,,,,,,,,,64,128,7,0.4786831755983577,17.0,2,SGD,0.08299112738466033,0.8139983401533605,0.0036998679204890915,25.0,0.3741935483870968,0.32948872669014806,,COMPLETE
5,0.40407088265117963,2026-09-16 12:53:21.935856,2026-09-16 12:58:22.983288,0 days 00:05:01.047432,0.8631574715777216,0.9577701860855178,0.0004742314081112146,3.179302199939539e-05,128.0,0.44045466860674276,32,5,1,0.4960215400417053,64,5,3,0.24379646048790207,128.0,3.0,1.0,0.30060651787487985,256.0,3.0,2.0,64,16,3,0.12156536427804526,12.0,4,Adam,,,,46.0,0.42258064516129035,0.38556112014106886,,COMPLETE
6,0.26578658347091527,2026-09-16 12:58:23.118158,2026-09-16 12:59:55.339053,0 days 00:01:32.220895,,,,,64.0,0.41807447790748153,32,3,1,0.16931772802833833,32,3,1,0.4819461122652776,128.0,3.0,1.0,,,,,64,32,5,0.16964358430414975,5.0,3,SGD,0.0011692786931726754,0.9197753720346671,1.1417577140741136e-06,,,,,PRUNED
7,0.5309450611871882,2026-09-16 12:59:55.439251,2026-09-16 13:04:29.335012,0 days 00:04:33.895761,,,,,32.0,0.11060452421664874,32,5,3,0.2544410551203097,32,3,3,0.13777718430237137,32.0,3.0,2.0,,,,,64,32,3,0.5180422992184904,15.0,3,SGD,0.027759104241881914,0.781737884684286,2.96933577312964e-06,48.0,0.5387096774193548,0.5231804449550217,,COMPLETE
8,0.21290174206982682,2026-09-16 13:04:29.472689,2026-09-16 13:09:05.591038,0 days 00:04:36.118349,0.899128101757291,0.9116949949411178,0.0007639430825545341,0.003554812765190896,256.0,0.2280198404122447,8,5,1,0.3293751552493145,16,5,3,0.4166316174903394,32.0,3.0,3.0,,,,,64,128,3,0.1857950092317015,17.0,3,Adam,,,,,,,,PRUNED
9,0.28137893100072287,2026-09-16 13:09:05.741944,2026-09-16 13:11:08.206324,0 days 00:02:02.464380,,,,,64.0,0.46254175403789444,32,7,1,0.39841795170616934,32,5,3,0.4852890157762445,64.0,3.0,2.0,,,,,128,32,5,0.6815815213714593,13.0,3,SGD,0.09525644914201474,0.7214010037732657,0.00016421663082032186,,,,,PRUNED
